epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.47159,1.1004,0.63095,1,0.93495,0.00010003,0.00010003,0.00010003
2,9.36065,0.80651,0.89286,1,0.50902,0.000210106,0.000210106,0.000210106
3,11.0933,0.46186,0.95238,1,0.26177,0.000315655,0.000315655,0.000315655
4,12.8875,0.22251,0.94048,1,0.24175,0.000416676,0.000416676,0.000416676
5,14.6355,0.15086,0.95238,1,0.2675,0.000513171,0.000513171,0.000513171
6,16.3217,0.08176,0.96429,1,0.06292,0.000605139,0.000605139,0.000605139
7,18.0015,0.05149,0.95238,1,0.09091,0.000692579,0.000692579,0.000692579
8,19.7757,0.0502,0.95238,1,0.04773,0.000775493,0.000775493,0.000775493
9,21.4364,0.03262,0.96429,1,0.09111,0.000853879,0.000853879,0.000853879
10,23.0584,0.04363,0.97619,1,0.0626,0.000927738,0.000927738,0.000927738
11,24.8155,0.04443,0.9881,1,0.02037,0.00099707,0.00099707,0.00099707
12,26.505,0.03901,0.96429,1,0.09927,0.00106188,0.00106188,0.00106188
13,28.1632,0.10861,0.96429,1,0.08944,0.00108947,0.00108947,0.00108947
14,29.8687,0.0652,0.95238,1,0.14591,0.00106118,0.00106118,0.00106118
15,31.5837,0.02459,0.92857,1,0.10423,0.00103288,0.00103288,0.00103288
16,33.2088,0.06639,0.95238,1,0.21593,0.00100459,0.00100459,0.00100459
17,34.9008,0.0328,0.94048,1,0.14507,0.000976293,0.000976293,0.000976293
18,36.6923,0.02358,0.94048,1,0.22251,0.000947999,0.000947999,0.000947999
19,38.3179,0.05799,0.94048,1,0.20464,0.000919704,0.000919704,0.000919704
20,40.0138,0.0561,0.92857,1,0.18243,0.00089141,0.00089141,0.00089141
21,41.7941,0.04033,0.92857,1,0.21181,0.000863116,0.000863116,0.000863116
22,43.4706,0.01995,0.95238,1,0.21296,0.000834822,0.000834822,0.000834822
23,45.161,0.02341,0.95238,1,0.21265,0.000806528,0.000806528,0.000806528
24,46.9494,0.0202,0.96429,1,0.21109,0.000778233,0.000778233,0.000778233
25,48.5817,0.05314,0.97619,1,0.12734,0.000749939,0.000749939,0.000749939
26,50.274,0.01801,0.97619,1,0.02324,0.000721645,0.000721645,0.000721645
