epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8547,1.02096,2.96168,1.12038,0.00558,0.53075,0.27627,0.21376,0.97133,3.32484,1.02889,0.00018337,0.00018337,0.00018337
2,37.1013,0.98312,1.93275,1.02994,0.00659,0.59135,0.36976,0.3121,1.03009,3.29985,1.01725,0.000379614,0.000379614,0.000379614
3,47.5928,1.04751,1.48055,1.02163,0.00671,0.5762,0.36329,0.27855,1.13472,3.27799,1.06431,0.000571898,0.000571898,0.000571898
4,57.965,1.05891,1.44469,1.02312,0.92595,0.085,0.23912,0.19262,1.23566,3.32497,1.13666,0.00076022,0.00076022,0.00076022
5,68.4639,0.9779,1.29523,1.01123,0.55878,0.01471,0.08943,0.06198,1.26464,3.35453,1.17702,0.000944582,0.000944582,0.000944582
6,78.9129,1.04955,1.28173,1.02447,0.80509,0.19118,0.2908,0.21991,1.13714,3.11091,1.12735,0.00112498,0.00112498,0.00112498
7,89.8584,0.99372,1.22298,1.00335,0.77848,0.07353,0.1087,0.08792,1.13376,3.11485,1.14639,0.00130142,0.00130142,0.00130142
8,101.583,1.00668,1.2207,1.02566,0.97119,0.2407,0.35182,0.28766,1.23175,2.87304,1.25135,0.0014739,0.0014739,0.0014739
9,113.314,1.07358,1.32729,1.05735,0.74261,0.19118,0.32092,0.21586,1.16695,2.46434,1.11099,0.00153497,0.00153497,0.00153497
10,125.17,0.98985,1.27837,1.05012,0.96532,0.39465,0.51552,0.38663,1.10865,1.96322,1.07059,0.00151847,0.00151847,0.00151847
11,136.594,0.98948,1.12718,1.0025,0.98261,0.40826,0.59917,0.44298,0.99455,1.64277,1.04783,0.00150197,0.00150197,0.00150197
12,149.645,0.95483,1.04556,0.99147,0.93717,0.40937,0.50476,0.40274,1.06526,1.70623,1.07259,0.00148546,0.00148546,0.00148546
13,162.579,0.96409,1.05545,0.98442,0.95655,0.38235,0.58821,0.44196,0.95008,1.51913,1.0296,0.00146896,0.00146896,0.00146896
14,175.512,0.97286,1.0276,0.99139,0.73435,0.57709,0.6791,0.50149,0.96676,1.26218,1.0303,0.00145246,0.00145246,0.00145246
15,188.839,0.92855,0.97322,0.98568,0.72931,0.56328,0.64662,0.46194,1.02963,1.47811,1.03245,0.00143595,0.00143595,0.00143595
16,202.856,0.96705,0.96355,0.99823,0.73987,0.60784,0.6559,0.4792,0.97267,1.16267,1.01285,0.00141945,0.00141945,0.00141945
17,216.751,0.90624,0.99174,0.99778,0.73456,0.63815,0.63314,0.47219,0.99546,1.29561,0.99583,0.00140295,0.00140295,0.00140295
18,231.451,0.93078,0.96296,1.00921,0.74254,0.6836,0.68556,0.5023,0.97638,1.12477,1.01966,0.00138644,0.00138644,0.00138644
19,245.101,0.93856,0.89305,0.99399,0.70782,0.59358,0.61892,0.46505,1.01606,1.26892,1.03402,0.00136994,0.00136994,0.00136994
20,259.239,0.92866,0.92831,0.98381,0.83245,0.62737,0.69962,0.51035,0.98854,1.15693,1.0061,0.00135344,0.00135344,0.00135344
21,273.338,0.89832,0.8655,0.9815,0.76876,0.70756,0.72539,0.54046,0.90365,0.98992,0.98485,0.00133693,0.00133693,0.00133693
22,286.38,0.88608,0.82557,0.97494,0.7244,0.72527,0.75435,0.52739,1.0477,0.98375,1.0431,0.00132043,0.00132043,0.00132043
23,300.968,0.87695,0.81353,0.96497,0.74179,0.7139,0.78197,0.55607,0.99721,1.03272,1.00315,0.00130393,0.00130393,0.00130393
24,314.521,0.88381,0.82572,0.99741,0.78841,0.71346,0.77724,0.5321,1.02675,0.93119,1.03627,0.00128742,0.00128742,0.00128742
25,327.318,0.82221,0.76647,0.94666,0.76412,0.72861,0.77294,0.52895,0.99841,1.00081,1.02203,0.00127092,0.00127092,0.00127092
26,340.776,0.86078,0.78269,0.95312,0.75743,0.70615,0.77565,0.54639,0.94638,0.87937,1.00757,0.00125442,0.00125442,0.00125442
27,355.172,0.88291,0.78239,0.9518,0.75721,0.76634,0.76981,0.53963,0.9518,0.84296,0.98232,0.00123791,0.00123791,0.00123791
28,368.383,0.81315,0.73346,0.92857,0.71161,0.79554,0.74773,0.54986,0.96384,0.87587,0.98444,0.00122141,0.00122141,0.00122141
29,382.798,0.861,0.72606,0.94408,0.70367,0.77317,0.72841,0.5242,0.96761,0.84577,0.99091,0.00120491,0.00120491,0.00120491
